from,times,to
Взрослый!Гарри Поттер,1.0,Взрослый!Драко Малфой
Взрослый!Гарри Поттер,1.0,Намёки на-!Северус Снейп
Невилл,1.0,ОЖП
Генри Морган,1.0,Нарцисса Малфой
Генри Морган,1.0,Эбигейл Морган
Драко Малфой,1.0,пять дорогих ему людей
Драко Малфой,1.0,Сьюзен Томпсон .
Барти Крауч-старший,1.0,Ирма Пинс
?,1.0,Ожп
Волшебная палочка,1.0,Рон Уизли
Лили Эванс-Поттер,2.0,Северус Снейп
Герм,1.0,Малфой
ДУ,1.0,ПЛ
Арья Старк,2.0,Гарри Поттер
Фред Уизли.,1.0,Элеонора Грейнджер
 Доркас Медоуз,1.0,Ремус Люпин
Кассиопея Блэк,1.0,Теодор Нотт
Драко Малфой,1.0,Кассиопея Блэк
Гарри Поттер,1.0,Интернет
Септимус Уизли,2.0,Цедрелла Уизли
 Панси Линдештерн,1.0,Рон Уизли 
Анн Такамаки,1.0,Локи
Лелуш ви Британия,1.0,Ханако Икезава
Алекс Мерсер,1.0,Ханна Сон
Гарри Поттер,1.0,Хацуне Мику
Локи,1.0,Питер Паркер
Мари-Викуар Уизли,1.0,Тедди Люпин
Алекс и другие,1.0,Драко Малфой
Освальд Кобблпот,1.0,Эдвард Нигма
Бытовые предметы,1.0,ГП
Гарри Поттер,1.0,Невилл.
Гарри Поттер,1.0,Новый Женский Персонаж.
 Беллатрикс Лестрейндж,1.0,Северус Снейп
грейнджер,1.0,малфой
Гарри Поттер,1.0,Северус Снейп основные.
Гермиона Грейнджер,1.0,Северус Снегг
Виктор Крам,3.0,Джинни Уизли
Барти К.,1.0,Ларри Л. 
Мия,1.0,Фред
Курильщик,1.0,Лорд
 гарем,1.0,Гарри Поттер
fem!Гарри Поттер,3.0,Регулус Блэк
Луна,1.0,Сора
Батлер,1.0,Поттер
Поттер,1.0,Уизли
Белатриса Лестрандж,1.0,Воландеморт
Мисс Грейнджер,1.0,Мистер Снейп
Кэролайн Форбс,5.0,Никлаус Майклсон
Альбус Дамблдор,1.0,лимонные дольки
Алекто Кэрроу,1.0,Эван Розье
Бартемиус Крауч-мл.,1.0,Марлин Маккиннон
Гарри Поттер,2.0,намёк!Драко Малфой
?,1.0,Виктория
Пеги Блэк,1.0,Регулус Блэк
Кэтрин Келевра,1.0,Стивен Сноу
Гален Грай,1.0,Присцилла Пайс
Мэри Снейп,1.0,Рон Уизли
ОМП,1.0,дафна гринграсс
ГодГ,2.0,СалС
Нарцисса Малфой,3.0,Уолден Макнейр
Брюс Беннер,1.0,Джинни Уизли
fem!Орочимару,1.0,Северус
Драко Малфой,1.0,Лили Поттер
Капитан Джек Воробей,2.0,Том Марволо Реддл
Лорд Волан-де-Морт,1.0,Том Марволо Реддл
Гермиона Грейнжер,2.0,Люциус Малфой
********,1.0,Гарри Поттер
ДУ и др.,1.0,ТР
Рамуда Амемура,1.0,Саматоки Аохицуги
ББ,1.0,ДМ
Долорес Амбридж,1.0,ОМП
Лили Эванс,4.0,Люциус Малфой
Сириус Блэк,1.0,Том Марволо Реддл
Блейз Забини,1.0,Лаванда Браун
Сьюзен Боунс,2.0,Теодор Нотт
Ичиго,1.0,Северус
Бартемиус Крауч-мл.,1.0,Ева Леон
Кэлен Амнелл,2.0,Ричард Сайфер
 ОЖП,1.0,Северус
Блейз,1.0,Колин
Альбус Дамблдор,1.0,Ариана Дамблдор
СОБ,1.0,СТС
Гарри Поттер,1.0,Драко и др.
Перси Уизли,3.0,Руфус Скримджер
 Гарри Поттер,1.0,Регулус Блэк
Джордж Уизли,1.0,Жаклин Адамс ; Фред Уизли Гермиона Грейнджер.
Гарри Поттер,7.0,Драко.
Лили Эванс ,1.0,Северус Снейп
Кристина Беркутова,1.0,Ник
Анастасия Златослонова,1.0,Ангелина Гринёва
Ангелина Гринёва,1.0,в какой-то степени Алла З.
Виктория Савельева,1.0,Лука Иночкин
Ангелина Гринёва,1.0,Николай Злотский
Николай Злотский,1.0,Ярослава Коваленко
Анатолий Злотский,1.0,Анна (Нюра) Савельева
Будильник,1.0,Дэниель Рэдклиф
 fem!Гарри,1.0,Драко 
Драко Малфой,2.0,Пэнси
Даби,1.0,Кейго Таками
Кейго Таками,1.0,Тойя Тодороки
Изуку Мидория,1.0,Хитоши Шинсо
Билл Уизли,1.0,Нарцисса Малфой
Алиса,2.0,Фрэнк
 Драко Малфой,1.0,Рональд Уизли 
Луна,2.0,Северус
Гермиона Грейнджер,1.0,Драко Малфой; Демиан Ледер; Адриан Ледер.
Джейн Руквуд,1.0,Эрик Макнейр
Беллатркс Лестрейндж,1.0,ОПМ
Гарри Поттер,1.0,Люциус Малфой - пока. В дальнейшем возможны изменения и дополнения ;)
Бан Едам,1.0,Ким Джункю
Чжоу Чанг,1.0,Шерлок Холмс
Ким Намджун,1.0,Чон Чонгук
Белла,2.0,Том Марволо Реддл
ОЖП,1.0,Седрик Диггори и др.
(Катя) Эстер Вилле,1.0,Теодор Нотт
(Аня) Клара Форнбергс,1.0,Драко Малфой
Мелиодас,1.0,Элизабет Лионесс
Джеки Чан,1.0,Том Марволо Реддл
fem Гарри,1.0,Виктор
Гермиона Грейнджер,2.0,Северус Снейп.
Алиса Долгопупс,1.0,Альбус Поттер
профессор,1.0,студентка
ОЖП,1.0,Тонкс
Минхо,1.0,Ньют
16,1.0,17
Джульетта Крам,2.0,Питер Хейз
Игнотус Певерелл,1.0,Ровена Рейвенкло
Драко Малфой,1.0,Эрика Роули
Ривер Сонг,1.0,Том Реддл
Новый Женский Персонаж,1.0,Римус Люпин
Нимфадора Тонкс,1.0,Перси Уизли
,1.0,Барти Круач Мл.
fem!Гарри Поттер,1.0,Лайт Ягами
Дора Тонкс,2.0,Ремус Люпин
Селена,1.0,Фред
Сириус Блэк III,1.0,Эдвард Римус Люпин
Гермиона Уизли,1.0,Драко Малфой
Том Редлл,1.0,фем Гарри
Даичи Савамура,1.0,Коуши Сугавара
 Гарри Поттер,1.0,Альбус Дамблдор
Гарри Поттер,1.0,Дементор
Гарри Поттер,1.0,Полумна Лавгуд 
Пенелопа Кристал,1.0,Перси Уизли
Барри Аллен,1.0,Леонард Снарт
Джейс Эрондейл,1.0,Саймон Льюис
Бильбо Бэггинс,2.0,Торин Дубощит
Питер Паркер,1.0,Уэйд Уинстон Уилсон
 Том,1.0,Гермиона Грейнджер
Хагрид,1.0,мадам Максим
Австрия,1.0,Пруссия
Германия,1.0,Северная Италия
Франция,1.0,Шотландия
 Волан-де-Морт,1.0,Карл Лихтен 
Луна Лавгуд,1.0,Хьюго Уизли
Марлин Маккиннон,3.0,Ремус Люпин
ОМП,1.0,Питер Петтигрю
Беллатриса Лестрейндж,1.0,Уолден Макнейр
Кристиан Ричард Дойл,1.0,Нора Дойл
Дэнни,1.0,Полумна
гп,1.0,тл
 Лили Эванс,1.0,Северус Снегг
Гарри Поттер,1.0,Нарцисса
Мелифаро,1.0,Нимфадора Тонкс
Люциус Малфой,1.0,Северус Сейп
 Гарри Поттер,1.0,Волдеморт 
Драко Малфой,1.0,Марианна Слизерин
Бартемиус Крауч-мл.,1.0,Беллатриса Лестрейндж
!Гарри Поттер,2.0,Драко Малфой
ГП,2.0,ДМ - основной
Пит,1.0,Э
Кенкла,1.0,Текно
Там,1.0,Тар
Понд,1.0,ЧаИм
Гермиона Грейнджер,2.0,Сэм Винчестер
ОЖП,1.0,СеверусСнейп
альфа!Рон Уизли,1.0,омега!Блейз Забини
Гарри Поттер,2.0,Карлайл Каллен
Иван,1.0,Мишель
fem!Джеймс Поттер,2.0,male!Лили Поттер
Мия Шафик(ОЖП),1.0,Регулус(Сириус) Блэк
ГП,1.0,ДМ и наоборот
Гермиона Грейнджер,1.0,Теренс Хиггс
?,1.0,Альбус Дамболдор
ГП,1.0,КЛ
Гарри Поттер,1.0,Мерлин
Адам,1.0,Альфи
Лайт Ягами,2.0,Миса Амане
Северус Снейп,1.0,Эл Лоулайт
Лили.,1.0,Снейп
Невилл Лонгботом,1.0,Ханна Аббот
Ремус Люпин,3.0,Том Марволо Реддл
Гермиона Грейнджер,1.0,Рудольфус
Доминик Уизли,2.0,Скорпиус Гиперион Малфой
Гермиона Грейнджер,2.0,Терри Бут
 Новый женский персонаж + остальные фоном.,1.0,Северус Снейп
Дженсен Эклз,1.0,Миша Коллинз
Дин,1.0,Перси
Гермиона Грейнджер,1.0,Себастьян Моран
Боггарт,1.0,Роберт Кан
Сириус Блэк,1.0,Элизабет Мрак
Мадам Розмерта,1.0,Сириус Блэк III
Каркаров!Гаара,1.0,Крам!Шинки
Гаара,1.0,Шинки
Драко Малфой,2.0,яблоко
Артём Романович Ткачёв,1.0,Валентин Юрьевич Лебедев
ОЖП,1.0,омп
 Беллатрикс,1.0,Том Реддл
Гермиона Грейнджер,1.0,Северус.
broken!Драко Малфой,1.0,dark!Гарри Поттер
Драко Малфой,1.0,Рейчел Блэк и другие персонажи Поттерианы
Гермиона Г. и др.,1.0,Люциус М.
Джордж Уизли,2.0,Роза Уизли
Гарри Поттер,1.0,сестра Поттера.
ММ,1.0,ТР
 СС,2.0,ГП 
Клювокрыл,1.0,Ханна Аббот
fem!Гарри Поттер,2.0,Куросаки Ичиго
Регулус Блек,1.0,Сивилла Трелони
Кэти Белл,2.0,Рон Уизли
 Чарльз,1.0,Эрик 
Грегори Гойл,1.0,Мариэтта Эджком
Петунья Дурсль,1.0,Ремус Люпин
Абракхас Малфой,1.0,Том Реддл
Луна Лавгуд,1.0,Сириус Блэк III
!Драко Малфой,1.0,Гарри Поттер
Локи,1.0,попаданец!Питер Паркер
Кудесница,1.0,Молодость
Потерянная Святость,1.0,Шалунишка
Наркоман,1.0,Окоченевший Странник
Драко Малфой,1.0,и там дальше по канону
fem!Гарри Поттер,5.0,Люциус Малфой
!Гарри Поттер,1.0,!Драко Малфой
Изуку Мидория,4.0,Шото Тодороки
Новый Персонаж,1.0,Темный Лорд
Гермиона Грейнджер,6.0,Скорпиус Малфой
Беллатриса Лестрейндж,1.0,Скорпиус Малфой
Гарри Поттер,3.0,Джейкоб Блэк
Гермиона Грейнджер,1.0,фоном!Виктор Крам
Изабелла Свон,1.0,Рон Уизли
Батильда Бэгшот,1.0,Слизерин
Снейп,1.0,царевна-лягушка
Гермиона Грейнджер,1.0,Чжоу
Джуди Тайлер,1.0,Сириус Блэк
ГП; НМП,1.0,ДМ
Ли Минхёк,1.0,ОЖП
Питер Петтигрю,2.0,Сириус Блэк III
Женщина заключённая,1.0,дементор
???,1.0,Гермиона Грейнджер
гермиона грейнджер,1.0,драко малфой
Едлин Джонсон,1.0,Сириус Блэк III
Лили,1.0,Хьюго
Гермиона Грейнджер,4.0,Ньют
Микроб,1.0,фикбук
Гарри Поттер,1.0,Даррэн Эллохар
Драко Малфой,1.0,Юрао Найтес
Гарри и остальные,1.0,Мара
Анджелина Джонсон,1.0,Драко Малфой
Дафна Гринграсс,2.0,Люциус Малфой
Рон Уизли,1.0,Фенрир Сивый
 ОЖП,1.0,Том Марволо Реддл 
adult!Гарри Поттер,1.0,Северус Снейп
adult!Гарри Поттер,1.0,de-aged!Том Марволо Риддл
Лидия Мартин,6.0,Стайлз Стилински
 ОМП,1.0,Ожп
 Нарцисса Малфой,1.0,Сириус Блэк 
Гермиона Грейнджер,1.0,Джон Блум
Дейенерис Таргариен,2.0,Чарли Уизли
Виктор,1.0,Грета Поттер
young!Альбус Дамблдор,1.0,Ньют Скамандер
Смерть,1.0,фем Гарри Поттер
Гарри Поттер,1.0,Слизеринка
Лёша,1.0,Матвей
Роза Уизли,1.0,Сириус Блэк III
Беллатрикс Лестрейндж,4.0,Родольфус Лестрейндж
Драрри-мама,1.0,Зинулька Гвоздева
ОЖП,1.0,Скорпиус
альфа!Джеймс Сириус Поттер,1.0,омега!Гарри Поттер
альфа!Том Марволо Реддл,2.0,омега!Гарри Поттер
Луна Лавгуд,1.0,Луна Лавгуд
Драко Малфой,1.0,Эльвина
Волан-де-Морт,1.0,Гермиона Грейнжер
Нимфадора Тонкс,1.0,Ремус Люпин 
Нарцисса Малфой,3.0,Фред Уизли
Лили Поттер,2.0,ОЖП
Геллерт Гриндевальд,1.0,Элен Малфой
Ремус Люпин; Джеймс Поттер; Питер Петтигрю,1.0,Сириус Блэк
Ремус Люпин,1.0,намек на Северус Снейп
Драко Малфой,1.0,Симус Финниган
Луна Лавгуд,1.0,Флер Делакур
Марлен,1.0,основной - односторонний Сириус
Маркус Флинт,1.0,Перси Узли
ДМ,1.0,НЛ
Глеб,1.0,Таня
Беллатриса Блэк,1.0,Гермиона Грейнджер
Кэтрин Хоутон Беккет,1.0,Ричард Эдгар Касл
Какаши Хатаке,4.0,Сакура Харуно
fem!Гарри Поттер,2.0,Луна Лавгуд
Рубеус Хагрид,1.0,Филиус Флитвик
Драко Малфой,1.0,Мариша
Гарри Поттер,1.0,Кэтрин
Кэролайн ,1.0,Седрик Диггори
Долорес Амбридж,1.0,Ремус Люпин
Дин,1.0,фем Гарри
Александра «Алекс» Дэнверс,1.0,ОЖП
ОМП,1.0,"Уинслоу ""Уинн"" Шотт-младший"
Гермиона и другие,2.0,Драко Малфой
Ариана Дамблдор,2.0,ОМП
 X,1.0,Гермиона 
Кэтрин Кайл,2.0,Том Марволо Реддл
Гермиона Грейнджер,1.0,намек на Драко
Грегори Гойл,2.0,Парвати Патил
Гарри Поттер,1.0,Ханна Аббот
Джинни Уизли,1.0,Темный Лорд
Ли Джено,2.0,На Джемин
джеймс,1.0,лили - осн.
Алиса Найтли,1.0,Билл Уизли
Близнецы,1.0,ОЖП
Друэлла Блэк,1.0,Люциус Малфой
Друэлла Блэк,1.0,Нарцисса Малфой
 Рон Уизли,2.0,Чарли Уизли 
Полумна,1.0,Рольф
Альбус Северус Поттер,1.0,Рон Уизли
Джеймс Поттер,2.0,Кингсли Шеклболт
ОЖП,1.0,намёк Седрик Диггори
Драко Малфой,1.0,ОЖП намёк
Джили: Джеймс Поттер,1.0,Лили Эванс
Люциус Малфой,1.0,Рубиус Хагрид
Гермиона Грейнджер,1.0,ТЛ.
Виолетта Кастильо,1.0,Федерико Гонсалес
 Беллатриса,1.0,Волан-де-Морт
АУ,1.0,МолУ
Алиса,1.0,Сириус
?,1.0,ГГ
Марлин,2.0,Регулус
Гарри Поттер,2.0,Том Риддл 
 Эмма Ванити,1.0,Сириус Блэк
Адель Малфой,1.0,Гермиона Грейнджер\Драко Малфой
Беллатрикс Блэк,3.0,Сириус Блэк
Северус Снейп,1.0,Шота Айзава
Римус Люпин.,2.0,Сириус Блэк
Ваня Светло,1.0,Марк Маркул
Дарио Виейра,1.0,Марк Маркул
Ваня Светло,1.0,Дарио Виейра
Иван Евстигнеев,1.0,Мирон Фёдоров
Роман Худяков,1.0,Степан Карма
Александр,1.0,Рэйвен
Из явных пейрингов - Вернон,1.0,Петуния
Лили,1.0,Ремус
Гермиона Грейнджер,1.0,Теон Грейджой
 НЖП,1.0,Драко Малфой 
альфа!Юдзу Айхара,1.0,бета!Мэй Айхара
альфа!Мицуко Танигучи,1.0,омега!Кайо Марута
альфа!Мацури Мизусава,1.0,бета!Харуми Танигучи
альфа!Невилл Лонгботтом,1.0,бета!Гермиона Грейнджер
альфа!Гарри Поттер,1.0,омега!Лаванда Браун
альфа!Луна Лавгуд,1.0,омега!Чжоу Чанг
альфа!Ширахо Сузуран,1.0,омега!Нэнэ Номура
альфа!Нина Тачибана,1.0,бета!Сара Тачибана
Невилл Долгопупс,3.0,Полумна Лавгуд 
Наташа Романофф,1.0,Темирхан
Арсений Могилёв,1.0,Оксана Грачева
Мноогие персонажи Сильма.Участники из ГП раскроются по ходу повествования. Руссингон.Тургон,1.0,Финрод.И мнооогое.
Беллатрикс Лестрейндж,2.0,Люциус Малфой
Волан де Морт,1.0,Гермиона Грейнджер
Лаванда,1.0,Перси
Данила Кашин,2.0,Лиза Неред
Данила Кашин,1.0,Лера Мидлер
Андрей Смирнов,1.0,Лиза Неред
Николай Соболев,1.0,Полина Чистякова
Ильдар Хабибуллин,1.0,Полина Чистякова
Анастасия Шпагина,1.0,Руслан Тушенцов
Руслан Тушенцов,1.0,Юлий Онешко
Мирна Каплан,1.0,Юлий Онешко
Дарья Зарыковская,1.0,ОМП
Евгений Баженов,1.0,Екатерина Трофимова
 ? ; остальные отношения по канону .,1.0,ОЖП
ГП,1.0,СМ
Алиса Долгопупс,1.0,Фрэнк Лонгботтом
Доминик Уизли,1.0,Тедди Люпин 
Драко Малфой,5.0,Невилл
Вэлери Вуд,2.0,Гарри Поттер
George,1.0,You
Гермиона Грейнджер,2.0,Нацу Драгнил
Грей Фуллбастер,1.0,Полумна Лавгуд
Антон Шастун,1.0,Арсений Попов 
Арсений Попов ,1.0,Сергей Матвиенко
ГП,1.0,Хантер
Аурен,1.0,Саурон
Джеймс С. Поттер,1.0,Роуз Уизли
Коул Тернер,1.0,Фиби Холливелл
Лео Уайат,1.0,Пайпер Холливелл
Генри Митчелл,1.0,Пейдж Мэтьюс
Купидон,1.0,Фиби Холливелл
Дэн Гордон,1.0,Пайпер Холливелл
Деймон Сальваторе,2.0,Лили Полумна Поттер
Кэролайн Форбс,1.0,Стефан Сальваторе
Бонни Беннет,1.0,Лорензо Сент-Джон
Кларисса Ла Ру,1.0,Теодор Нотт
Драко Малфой,1.0,Непета
Атос,1.0,ОЖП
Джувия Локсар,1.0,Зереф Драгнил
Гарри Поттер,3.0,Геллерт
dark!Северус Снейп,1.0,fem!Гарри Поттер
Джинни Уизли,1.0,Падма Патил
Лорд,1.0,Снейп
vampire!Гарри Поттер,1.0,Северус Снейп
Марлин МакКиннон.,2.0,Сириус Блэк
Клайд,1.0,Скорпиус
ОМП,1.0,Элоиза
fem!Гарри Поттер,1.0,male!Тони Старк
альфа!Тони Старк,1.0,омега!Гарри Поттер
Беллатриса Лестрейндж и все-все-все,1.0,Том Реддл
fem!Гарри Поттер,1.0,Гарри Харт
Волан-де-Морт,1.0,Минерва Макгонагалл
Гарри Поттер.,1.0,Люциус Малфой
Астория Гринграсс,1.0,ОЖП
Реджина Миллс,1.0,Северус Снейп
Все-персонажи-мужского-пола-принимающие-участие-в-фике.,1.0,Мэрисья
Джеймс Мориарти,2.0,Драко Малфой
Луна Лавгуд,1.0,Себастьян(ОМП)
Габриэль (Гарри) Джеймс Поттер,1.0,Парвати Патил
Габриэла (Габриэль) Делакур,1.0,Драко Малфой
Невилл Лонгботтом,2.0,Падма Патил
Нимфадора Тонкс (Блэк),1.0,Седрик Диггори
fem!Невилл Долгопупс,1.0,Полумна Лавгуд
adult!Наташа Романофф,1.0,Баки Барнс
fem!Гарри Поттер,1.0,Альфард Блэк
fem!Гарри Поттер,1.0,Лестрейндж-старший
Барти Крауч-старший,1.0,Маргарет
Аластор Грюм,1.0,Миллисента Багнолд
 как пойдет,1.0,ГГ
!Джеймс Сириус Поттер,1.0,!Скорпиус Малфой
Джейн-Мишель Ван дер Вейден,1.0,незнакомец
«Грейс,1.0,Драко»
Гарри Поттер,1.0,Кхал Дрого
Маркус Флинт,1.0,Рон Уизли
Джим,2.0,Лили
Питер Петтигрю,1.0,Ремус Люпин
???,1.0,ГП
Джеймс Джили,1.0,Лили
Главня героиня,1.0,Драко или Гарри
Чарли Уизли,1.0,призрак!Харви Риджбит
Том Марволо Реддл,1.0,Элисон Райтер
Cириус Блэк,1.0,Беллатрикс Лестрейндж
Драко Малфой,1.0,персик
БЛ,2.0,РЛ
Лили Поттер,1.0,Фрэнк Лонгботтом
Беллатриса Лестрейндж,2.0,Кол Майклсон
Гермиона Грейнджер,4.0,Кол Майклсон
Кэтрин Пирс,2.0,Люциус Малфой
Беллатриса Лестрейндж,2.0,Никлаус Майклсон
Давина Клэр,1.0,Питер Пэн
Аврора де Мартель,1.0,Рабастан Лестрейндж
Геллерт Гриндельвальд,1.0,Кэтрин Пирс
Теодор Нотт,1.0,Флора Кэрроу
Гемиона,1.0,Рон Уизли
....,1.0,ГП
Салазар Слизерин,1.0,Том Реддл и по ходу написания
Беллатрикс,2.0,Северус
Северус Снейп,1.0,все симпатичные и не очень
Дэниел Редклифф,4.0,Том Фелтон
Полумна Лавгуд,2.0,Скорпиус Гиперион Малфой
Миранда Брэйн,1.0,Том Реддл
Драко Малфой,1.0,Наташа
Алёна(ОЖП)!Миртл Уоррен,1.0,Том Марволо Реддл
Джинни Уизли,1.0,Орион Блэк
Аврора Блэк,1.0,Гермиона Грейнджер
Северус Снейп,1.0,Эмилина Вэнс
Сапфира,1.0,Фирнен
 Рон Уизли,1.0,Гарри Поттер 
Айбарша Сакиева,1.0,Мстислав Фамин
Андрей Болконский,1.0,Гермиона Грейнджер
?,1.0,ОЖП2
???,1.0,Генриетта Поттер
 Анна Блуфорд,1.0,Драко Малфой
Артём,1.0,Виктория.
Кэтрин Ожешко,1.0,Ланнет Милори
Зибор Ковальски,1.0,Линда Возняк
Джинни,1.0,НЖП
Джинни Уизли + Драко Малфой,1.0,Панси Паркинсон
Вассссилиск,1.0,Нагайна
Максим Лэстер,1.0,Ника Рейн
Годрик Гриффиндор,2.0,ОЖП
альфа!Сириус Блэк III,1.0,омега!Люциус Малфой
альфа!Сириус Блэк,1.0,омега!Люциус Малфой
Луна,1.0,Малфой
Гг,1.0,Джордж Уизли
?,1.0,НЖП
Криденс Бэрбоун,1.0,ОЖП
Невилл Долгопупс,1.0,ОЖП
ОМП дракончик Пончик,1.0,Хвосторога
Гермиона Грейнджер,1.0,второстепенный персонаж
Ожп,2.0,Том Реддл
НЖП,1.0,Скорпиус Малфой
ММ,6.0,СС
Бельфегор,1.0,Вайпер
Занзас,2.0,Скуало Суперби
Леви-А-Тан,1.0,Луссурия
Гермиона Грейджен,1.0,Драко Малфой
Гарри Поттер,1.0,Драко Малфой. Канонные персонажи
Августус Руквуд,2.0,ОЖП
Гарри Поттер,1.0,Орион Блэк
Бен Коппер,1.0,ОЖП
Теодор Нотт,2.0,Трейси Дэвис
,1.0,Гермиона Грейнджер 
ДМ,1.0,Эрик
Джеймс,1.0,Северус\Сириус
\Оливер Вуд,1.0,Перси Уизли
Дракон :),1.0,Феникс
Лили Поттер,1.0,Мария Хилл
Гарри Поттер,1.0,намёком!Гермиона Грейнджер
fem!Гарри Поттер,2.0,Аргус Филч
Гермиона Грейнджер,2.0,Рабастан
Годрик Гриффиндор,1.0,Салазар Слизерин и наоборот
Блэр Корнелия,1.0,Чарльз Бартоломью Басс
Артур Уизли односторонний,1.0,Люциус Малфой
Гарри Поттер,1.0,Джарвис
 Натали Фелпс,1.0,Ремус Люпин 
Люциус Малфой,1.0,Фенрир Грейбек
Альбус Дамблдор,1.0,Том Реддл-ст.
Люциус,1.0,Нарцисса.
Адриан Пьюси,1.0,Астория Малфой
Ромильда Вейн,1.0,Седрик Диггори
 Гермиона Малфой и их дети Скорпиус и Николетта,1.0,Драко Малфой
Гэй Инь Тао,1.0,Джун Тао
ОМП,1.0,Рен Тао
Пирика Усуи,1.0,Рен Тао
Йо Асакура,1.0,Рен Тао
Жанна,1.0,Рен Тао
Рен Тао,1.0,Хорокэу Усуи
 Фред Уизли и другие.,1.0,Виктория Крам
Невилл Лонгботтом,3.0,Рон Уизли
Белла,1.0,Невилл
 Северус Снейп,1.0,Фрида 
Майк Уилер,1.0,Одиннадцать
Лукас Синклер,1.0,Макс Мэйфилд
Генри Бауэрс,1.0,Стэнли Урис
Миссис Грейнджер,2.0,Том Марволо Реддл
Елена Рейвенкло,1.0,Том Марволо Реддл
Джинни Уизли,1.0,Рональд Уизли
Невилл,1.0,Ханна + Коварная растительность
Куинни,1.0,Тина
Тесей Скамандер,1.0,Харви Риджбит
гарем,1.0,нмп
100% НЕ Малфой,1.0,Гарри Поттер
Аргус Филч,4.0,Ирма Пинс
Скорпиус Гиперион Малфой,1.0,Хьюго Уизли
Милли,1.0,Ник
альфа!Люциус Малфой,2.0,альфа!Северус Снейп
ОМП,4.0,Скорпиус Гиперион Малфой
Бербидж,1.0,намёки Снейп
Гарри Поттер,2.0,Эдик Амперян
Беллатриса Лестрейндж,1.0,Джинни Уизли
 Флер Делакур,1.0,Чарли Уизли 
Гермиона Грейнджер,2.0,Саске Учиха
Амелия Боунс,1.0,Сириус Блэк I
Симус Финниган,2.0,Сьюзен Боунс
Лань Цзинъи,2.0,Лань Юань
Осирис,1.0,Сет
Астория Малфой,1.0,Теодор Нотт
 Нарцисса,1.0,Белла 
Кларк,1.0,Лекса
Тони Топаз,1.0,Шерил Блоссом
Амикус Кэрроу,1.0,Астория Гринграсс
Перси,1.0,Чарли
Геллерт Гриндельвальд,1.0,Сигнус Блэк II
НЖП,1.0,Регулус Блэк
Майер Линг,1.0,Шарлотта Элборн
Беллатриса Лестрейндж,1.0,Геллерт Гриндевальд
Брайан Мэй,2.0,Роджер Тейлор
Невилл Лонгботтом,1.0,Таинственная незнакомка
Игорь Каркаров,2.0,Северус Снейп
Гораций Слизнорт ,1.0,Северус Снейп
Аластор Грюм,1.0,Ремус Люпин
Аластор Грюм,1.0,Кингсли Шеклболт
Аргус Филч,1.0,Невилл Лонгботтом
Бартемиус Крауч-мл.,1.0,Кингсли Шеклболт
ГермионаГрейнджер,1.0,Сириус Блэк
Павел Личадеев,1.0,Юрий Музыченко 
Рабастан Лестрендж,1.0,фем Гарри Поттер
Нарцисса Малфой,1.0,Северина Снейп
Игорь Каркаров,1.0,Минерва Макгонагалл
ДиО,1.0,Чанёль
СБ,1.0,СС\ДП
Дин Томас,1.0,Невилл Лонгботтом
Гарри Поттер,1.0,Мет
fem!Гарри Поттер,1.0,Брюс Беннер
ОЖП,1.0,Филиус Флитвик
ГП,1.0,фем!СС
Симон Жаклин,1.0,Эттель Жаклин
Джеймс Поттер,1.0,Стефания Жаклин
Северус Снейп,2.0,Тони Старк
альфа!Северус Снейп,1.0,омега!Люциус Малфой
Винда Розье,3.0,Геллерт Гриндельвальд
Северус Снейп,1.0,Синистра Браун
Синистра Браун,1.0,Том Марволо Реддл
Лаванда Браун,1.0,Пэнси Паркинсон
Лаванда Браун,3.0,Панси Паркинсон
Берта Джоркинс,1.0,Мальсибер
ОЖП,1.0,Розье-старший
Алекто Кэрроу,1.0,Игорь Каркаров
Тесей Скамандер,1.0,Торкил Трэверс
Адам Браун,1.0,Ева Слизерин
Глеб Бейбарсов,1.0,Таня Гроттер
Волдеморт,1.0,Джеймс Поттер
Джордж Уизли,2.0,Саманта Пейс
light!Том Марволо Реддл,1.0,Драко Малфой
Нико ди Анджело,3.0,Регулус Блэк
Драко Малфой,1.0,Сагитта Блэк
fem!Шерил Блоссом,1.0,Тони Топаз
Форсайт Пендлтон Джонс III,2.0,Элизабет Купер
Вероника Лодж,1.0,Ник Сент Клэр
Арчибальд Эндрюс,1.0,Валери Браун (Вэл)
Арчи Эндрюс,1.0,Элизабет Купер
Арчи Эндрюс,2.0,Вероника Лодж
Джейсон Блоссом,1.0,Полли Купер
Элис Купер,1.0,ЭфПи Джонс
Гермиона Лодж,1.0,Фредерик Эндрюс 
fem!Тсунаёши Савада,1.0,Северус Снейп
Беллатрикс Блэк,1.0,Рудольфус Лестрейндж
,1.0,Северус
Гарри Поттер.,1.0,Ричард Паркинсон
Гарри Поттер,1.0,Мариэтта Эджком
ОМЖ,2.0,ОМП
Алиса Лонгботтом,2.0,Бартемиус Крауч-мл.
 Гермиона Грэйнджер,2.0,Драко Малфой 
ты,1.0,я
Вайолет Келли,1.0,Чарли Уизли
Аластор Грюм,1.0,Бартемиус Крауч
Антонин Долохов,1.0,Чжоу Чанг
Нимфадора Тонкс,1.0,Флёр Делакур или же флонкс
Алекто Кэрроу,1.0,Беллатриса Лестрейндж
Гаремы,1.0,Моя психика
Гарри Поттер,1.0,Элтариэль
Гарри Поттер,1.0,Сакумо Хатаке
